Source,Target,Type,Id,Label,Weight
22971,22999,Undirected,48502,,1
22971,23002,Undirected,48503,,1
22971,23007,Undirected,48504,,1
22971,23013,Undirected,48505,,1
22971,23024,Undirected,48573,,1
22971,23034,Undirected,48574,,1
22971,23037,Undirected,48575,,1
22971,23038,Undirected,48576,,1
22971,23040,Undirected,48577,,1
22971,23050,Undirected,48578,,1
22971,23052,Undirected,48579,,1
22971,23065,Undirected,48628,,1
22971,23066,Undirected,48629,,1
22971,23068,Undirected,48630,,1
22971,23069,Undirected,48631,,1
22971,23071,Undirected,48632,,1
22971,23083,Undirected,48633,,1
22971,23085,Undirected,48680,,1
22971,23100,Undirected,48681,,1
22971,23106,Undirected,48682,,1
22971,23113,Undirected,48683,,1
22971,23130,Undirected,48731,,1
22971,23152,Undirected,48764,,1
22971,23153,Undirected,48765,,1
22971,23171,Undirected,48766,,1
22971,23212,Undirected,48846,,1
22971,23218,Undirected,48847,,1
22971,23221,Undirected,48848,,1
22971,23228,Undirected,48849,,1
22971,23232,Undirected,48850,,1
22971,23244,Undirected,48886,,1
22971,23251,Undirected,48887,,1
22971,23266,Undirected,48926,,1
22971,23275,Undirected,48927,,1
22971,23310,Undirected,48949,,1
22971,23340,Undirected,48964,,1
22982,22985,Undirected,48479,,1
22982,22997,Undirected,48526,,1
22982,23000,Undirected,48527,,1
22982,23002,Undirected,48528,,1
22982,23007,Undirected,48529,,1
22982,23008,Undirected,48530,,1
22982,23010,Undirected,48531,,1
22982,23013,Undirected,48532,,1
22982,23016,Undirected,48533,,1
22982,23022,Undirected,48534,,1
22982,23025,Undirected,48596,,1
22982,23026,Undirected,48597,,1
22982,23034,Undirected,48598,,1
22982,23037,Undirected,48599,,1
22982,23040,Undirected,48600,,1
22982,23050,Undirected,48601,,1
22982,23052,Undirected,48602,,1
22982,23065,Undirected,48647,,1
22982,23066,Undirected,48648,,1
22982,23068,Undirected,48649,,1
22982,23069,Undirected,48650,,1
22982,23070,Undirected,48651,,1
22982,23071,Undirected,48652,,1
22982,23100,Undirected,48711,,1
22982,23106,Undirected,48712,,1
22982,23121,Undirected,48746,,1
22982,23134,Undirected,48747,,1
22982,23151,Undirected,48773,,1
22982,23152,Undirected,48774,,1
22982,23153,Undirected,48775,,1
22982,23171,Undirected,48776,,1
22982,23189,Undirected,48809,,1
22982,23193,Undirected,48810,,1
22982,23213,Undirected,48861,,1
22982,23221,Undirected,48862,,1
22982,23228,Undirected,48863,,1
22982,23244,Undirected,48902,,1
22982,23252,Undirected,48903,,1
22982,23254,Undirected,48904,,1
