Id,Label,sex,agerank,wallcount,locale,modularityclass,origin,modularity_class,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
23155,"Brandy ",female,197,204,en_US,0,research,23,14,5,0.378525,0.419102,63.003404
23156,Luis,male,196,97,en_US,0,research,23,11,5,0.367756,0.400478,201.594106
23168,Jon,male,184,259,en_GB,0,research,23,25,5,0.424574,0.467717,215.354617
23189,Christian,male,163,183,en_US,0,research,23,73,5,0.468456,0.5532,1711.651862
23193,"Erica ",female,159,40,en_US,0,research,23,31,5,0.43354,0.484193,92.767544
23221,"Holly ",female,131,484,en_US,0,research,23,62,5,0.4729,0.543171,1294.635759
23228,"Katherine ",female,124,245,en_US,0,research,23,41,5,0.43625,0.496848,74.706083
23254,Lawrence,male,98,113,en_US,0,research,23,32,5,0.422007,0.477985,326.84752
23266,Nathaniel,male,86,46,en_US,0,research,23,40,5,0.438442,0.495272,170.752757
23269,"Tonya ",female,83,73,en_US,0,other,23,22,5,0.411557,0.455778,174.55822
23286,Alan,male,66,50,en_US,0,research,23,1,6,0.319305,0.343362,0
23303,Micheal,male,49,298,en_US,0,research,23,11,5,0.381421,0.418529,2.337305
23324,Joe,male,28,85,en_GB,0,research,23,6,5,0.355036,0.388873,6.008149
23325,Martin,male,27,30,en_US,0,UMich,24,25,5,0.402074,0.451385,1468.708879
23330,"Sandra ",female,22,10,en_US,0,research,23,17,5,0.384785,0.427459,38.664136
22967,Wesley,male,385,42,en_US,10,Stanford,20,1,7,0.256806,0.267963,0
22968,Gerald,male,384,64,en_US,10,husband's friend,21,4,6,0.312724,0.334479,0
22975,Willie,male,377,243,en_US,10,Stanford,21,18,5,0.372465,0.409551,417.156964
22976,Casey,male,376,44,en_US,10,Stanford,21,20,6,0.378525,0.420678,478.619973
22977,"Christy ",female,375,175,en_US,10,research,23,13,5,0.413998,0.446705,581.318874
22998,Henry,male,354,39,en_US,10,other,21,6,6,0.361658,0.386915,299.915491
23001,Adrian,male,351,,en_US,10,Stanford,21,6,6,0.30507,0.330755,0
23030,"Tanya ",female,322,176,en_US,10,UMich,22,5,6,0.266412,0.282092,160.63624
23032,Andre,male,320,310,en_US,10,UMich,23,12,5,0.397494,0.433047,302.129443
23049,Jay,male,303,357,en_US,10,Google,21,12,5,0.360165,0.393505,128.967837
23059,"Megan ",female,293,,en_US,10,UMich,23,6,5,0.351107,0.378892,301.201728
23082,Walter,male,270,86,en_US,10,husband's friend,21,7,6,0.314414,0.339733,5.717545
23086,Seth,male,266,591,en_US,10,Google,21,11,5,0.34761,0.377746,152.276162
23088,"Michele ",female,264,120,en_US,10,Stanford,21,13,6,0.32556,0.358548,29.236519
23091,"Dana ",female,261,592,en_US,10,husband's friend,21,11,6,0.342829,0.374164,196.476421
23092,Jesus,male,260,106,en_US,10,Google,21,6,5,0.342493,0.36767,7.658788
23096,"Leslie ",female,256,80,en_US,10,Stanford,21,15,6,0.347264,0.382235,69.095854
23102,Mario,male,250,13,en_US,10,HP Labs,20,4,6,0.345203,0.37149,389.556909
23103,Wayne,male,249,942,en_US,10,other,21,14,6,0.327392,0.361414,41.635487
23104,Ricky,male,248,247,en_US,10,other,21,3,6,0.301122,0.321585,9.098546
23107,Randall,male,245,86,en_US,10,UMich,23,7,5,0.357949,0.384575,122.376175
23110,"Teresa ",female,242,275,en_US,10,ES US,22,2,8,0.186133,0.194286,0
23112,"Allison ",female,240,238,en_US,10,other,21,11,6,0.347264,0.379656,84.551841
23114,"Veronica ",female,238,1472,en_GB,10,Stanford,21,11,6,0.349,0.379608,616.981525
23119,"Denise ",,233,431,en_US,10,ES US,22,3,7,0.228403,0.24081,694
23120,"Heidi ",female,232,713,en_US,10,husband's friend,21,7,6,0.314414,0.339733,1.138889
23122,Allen,male,230,215,en_US,10,Stanford,21,15,6,0.351107,0.385244,148.60936
23124,Ian,male,228,71,en_US,10,UMich,22,5,5,0.312724,0.335626,347.307493
23126,"Alicia ",female,226,346,en_US,10,ES US,22,2,8,0.186133,0.194286,0
23143,Albert,male,209,241,en_US,10,husband's friend,21,14,6,0.385635,0.422827,931.775888
23144,"Catherine ",female,208,521,en_US,10,Ann Arbor,21,4,6,0.303478,0.325501,0
23146,"Kristen ",female,206,462,en_US,10,husband's friend,21,6,6,0.314131,0.3383,0
23164,"Kristin ",female,188,314,en_US,10,UMich,22,3,6,0.294764,0.314136,1133.919615
23167,"Robin ",female,185,135,en_US,10,husband's friend,21,9,6,0.314982,0.342598,8.313991
